work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
"WS/MP18336/2024-2025/135507-Construction of roads, link roads, pathways or any other road with or without drainage system",29-May-2025,1000000.0,True,Images
"WS/MP18278/2024-2025/137691-Construction of roads, link roads, pathways or any other road with or without drainage system",28-Nov-2024,1000000.0,True,Images
"WS/MP18278/2024-2025/134633-Construction of roads, link roads, pathways or any other road with or without drainage system",10-Jan-2025,1000000.0,True,Images
"WS/MP18278/2024-2025/134631-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",05-Dec-2024,500000.0,True,Images
"WS/MP18278/2024-2025/134632-Construction of roads, link roads, pathways or any other road with or without drainage system",07-Feb-2025,1000000.0,True,Images
WS/MP345/2024-2025/134145-Construction of buildings for community cultural activities,27-Sep-2024,96867.0,True,Images
WS/MP641/2024-2025/143280-Setting up of farmers’ training and assistance centers,20-Feb-2025,2000000.0,False,nan
WS/MP641/2024-2025/143281-Setting up of farmers’ training and assistance centers,16-May-2025,1500000.0,False,nan
WS/MP429/2024-2025/140550-Construction of culverts and bridges,19-Nov-2024,900000.0,False,nan
WS/MP18182/2024-2025/134222-Construction of boundary walls of existing public and community buildings,30-Sep-2024,2486079.0,True,Images
WS/MP18182/2024-2025/134224-Construction of boundary walls of existing public and community buildings,30-Sep-2024,2481067.0,True,Images
"WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system",30-Sep-2024,458593.0,True,Images
WS/MP672/2024-2025/144104-Purchase of hospital equipment,30-Sep-2024,670000.0,True,Images
"WS/MP18278/2024-2025/134660-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Aug-2025,999856.0,True,Images
"WS/MP18278/2024-2025/134655-Construction of roads, link roads, pathways or any other road with or without drainage system",18-Nov-2024,700000.0,True,Images
"WS/MP18278/2024-2025/134666-Construction of roads, link roads, pathways or any other road with or without drainage system",07-Jan-2025,999772.0,True,Images
WS/MP672/2024-2025/144103-Purchase of hospital equipment,01-Oct-2024,555000.0,True,Images
WS/MP18101/2024-2025/139569-Construction of additional rooms and halls in the existing public and community building,09-Sep-2025,500000.0,True,Images
WS/MP672/2024-2025/144101-Purchase of hospital equipment,04-Oct-2024,152300.0,True,Images
WS/MP429/2024-2025/140551-Construction of culverts and bridges,19-Nov-2024,799538.0,False,nan
WS/MP761/2024-2025/144933-Providing drains and gutters for public drainage,04-Oct-2024,495000.0,False,nan
