constituency_id,name,state,mp_id
C_UTTAR__GAUTAM_BUDDHA_NA,GAUTAM BUDDHA NAGAR,Uttar Pradesh,MP_8BEED24A
C_UTTAR__AMBEDKAR_NAGAR,AMBEDKAR NAGAR,Uttar Pradesh,MP_EA73066C
C_MADHYA_KHANDWA,KHANDWA,Madhya Pradesh,MP_55FE6DEC
C_TAMIL__KANNIYAKUMARI,KANNIYAKUMARI,Tamil Nadu,MP_BA8F1575
C_WEST_B_JHARGRAM_ST,JHARGRAM(ST),West Bengal,MP_F8FF04EC
C_UTTAR__FIROZABAD,FIROZABAD,Uttar Pradesh,MP_F5CE1973
C_RAJAST_BHARATPUR_SC,BHARATPUR(SC),Rajasthan,MP_E56AA98B
C_MAHARA_NANDURBAR_ST,NANDURBAR(ST),Maharashtra,MP_C9028D8C
C_ANDHRA_TIRUPATI_SC,TIRUPATI(SC),Andhra Pradesh,MP_28F8033F
C_MAHARA_AMRAVATI_SC,AMRAVATI(SC),Maharashtra,MP_06FC8F16
C_CHHATT_DURG,DURG,Chhattisgarh,MP_C0E14B6D
C_JHARKH_GIRIDIH,GIRIDIH,Jharkhand,MP_F590513A
C_GUJARA_KACHCHH_SC,KACHCHH(SC),Gujarat,MP_29B310F5
C_PUNJAB_ANANDPUR_SAHIB,ANANDPUR SAHIB,Punjab,MP_90B5DD65
C_SIKKIM_SIKKIM,SIKKIM,Sikkim,MP_D6699157
C_KERALA_MAVELIKKARA_SC,MAVELIKKARA(SC),Kerala,MP_8721F08B
C_KARNAT_BANGALORE_SOUTH,BANGALORE SOUTH,Karnataka,MP_5FD947F9
C_WEST_B_HOOGHLY,HOOGHLY,West Bengal,MP_9E0D6231
C_MAHARA_NAGPUR,NAGPUR,Maharashtra,MP_E6DBE24C
C_UTTAR__HARDOI__SC,HARDOI (SC),Uttar Pradesh,MP_D1E6A2A0
C_WEST_B_MATHURAPUR_SC,MATHURAPUR(SC),West Bengal,MP_C4DD2994
C_ASSAM_GUWAHATI,GUWAHATI,Assam,MP_D42A64C4
C_JHARKH_KHUNTI_ST,KHUNTI(ST),Jharkhand,MP_3BB40A5C
C_BIHAR_SIWAN,SIWAN,Bihar,MP_EB159F15
C_UTTAR__AGRA_SC,AGRA(SC),Uttar Pradesh,MP_9B6B9484
C_ANDHRA_ELURU,ELURU,Andhra Pradesh,MP_F02FFF3F
C_GUJARA_BARDOLI_ST,BARDOLI(ST),Gujarat,MP_3D9206C4
C_UTTAR__DEORIA,DEORIA,Uttar Pradesh,MP_3489B587
C_WEST_B_KRISHNANAGAR,KRISHNANAGAR,West Bengal,MP_A39B950E
C_TAMIL__ARANI,ARANI,Tamil Nadu,MP_65FEBAA3
C_UTTAR__UNNAO,UNNAO,Uttar Pradesh,MP_04310D3F
C_ASSAM_DIPHU__ST,DIPHU (ST),Assam,MP_88F3D4F9
C_UTTAR__FATEHPUR_SIKRI,FATEHPUR SIKRI,Uttar Pradesh,MP_A3681C37
C_UTTAR__JHANSI,JHANSI,Uttar Pradesh,MP_20A78A08
C_WEST_B_DIAMOND_HARBOUR,DIAMOND HARBOUR,West Bengal,MP_6BD80D8C
C_MAHARA_SOLAPUR_SC,SOLAPUR(SC),Maharashtra,MP_29E5B776
C_BIHAR_PATNA_SAHIB,PATNA SAHIB,Bihar,MP_7102CE8C
C_MAHARA_SHIRUR,SHIRUR,Maharashtra,MP_12E7823C
C_RAJAST_KOTA,KOTA,Rajasthan,MP_ED0626B6
C_MADHYA_MANDSOUR,MANDSOUR,Madhya Pradesh,MP_08F0ACD4
C_UTTAR__HAMIRPUR_UP,HAMIRPUR_UP,Uttar Pradesh,MP_F703A477
C_UTTAR__BANDA,BANDA,Uttar Pradesh,MP_52A582AC
C_WEST_B_BIRBHUM,BIRBHUM,West Bengal,MP_2094F1BE
C_WEST_B_BISHNUPUR_SC,BISHNUPUR(SC),West Bengal,MP_B47A5217
C_HIMACH_MANDI,MANDI,Himachal Pradesh,MP_48CA02A6
C_ARUNAC_ARUNACHAL_EAST,ARUNACHAL EAST,Arunachal Pradesh,MP_82F0AEDE
C_CHHATT_SARGUJA_ST,SARGUJA(ST),Chhattisgarh,MP_856BAE50
C_GUJARA_NAVSARI,NAVSARI,Gujarat,MP_7D10545F
C_TAMIL__TIRUPPUR,TIRUPPUR,Tamil Nadu,MP_7F8A3509
C_MADHYA_RAJGARH,RAJGARH,Madhya Pradesh,MP_1E479BE0
C_WEST_B_ARAMBAG_SC,ARAMBAG(SC),West Bengal,MP_2D564BAB
C_ANDHRA_AMALAPURAM_SC,AMALAPURAM(SC),Andhra Pradesh,MP_1FAB627A
C_UTTAR__ROBERTSGANJ_SC,ROBERTSGANJ(SC),Uttar Pradesh,MP_F6636B8D
C_TELANG_NIZAMABAD,NIZAMABAD,Telangana,MP_89409408
