transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_RA_001245,CW_RA_EXP_001245,WS/MP18347/2026-2027/272736,rajya_sabha,expenditure,1244,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,382164.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001246,CW_RA_EXP_001246,WS/MP18347/2026-2027/272759,rajya_sabha,expenditure,1245,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,1384694.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001247,CW_RA_EXP_001247,WS/MP18347/2026-2027/272760,rajya_sabha,expenditure,1246,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,1673019.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001248,CW_RA_EXP_001248,WS/MP18347/2026-2027/272712,rajya_sabha,expenditure,1247,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,938256.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001249,CW_RA_EXP_001249,WS/MP18347/2026-2027/272714,rajya_sabha,expenditure,1248,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,896890.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001250,CW_RA_EXP_001250,WS/MP18347/2026-2027/272713,rajya_sabha,expenditure,1249,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,1961215.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001251,CW_RA_EXP_001251,WS/MP18347/2026-2027/272716,rajya_sabha,expenditure,1250,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,198212.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001252,CW_RA_EXP_001252,WS/MP18347/2026-2027/272722,rajya_sabha,expenditure,1251,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,198133.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001253,CW_RA_EXP_001253,WS/MP18347/2026-2027/272719,rajya_sabha,expenditure,1252,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,186270.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001254,CW_RA_EXP_001254,WS/MP18347/2026-2027/272720,rajya_sabha,expenditure,1253,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,185885.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001255,CW_RA_EXP_001255,WS/MP18347/2026-2027/272724,rajya_sabha,expenditure,1254,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,186016.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001256,CW_RA_EXP_001256,WS/MP18347/2026-2027/272729,rajya_sabha,expenditure,1255,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,184987.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001257,CW_RA_EXP_001257,WS/MP18347/2026-2027/272723,rajya_sabha,expenditure,1256,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,186143.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001258,CW_RA_EXP_001258,WS/MP18347/2026-2027/272721,rajya_sabha,expenditure,1257,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197937.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001259,CW_RA_EXP_001259,WS/MP18347/2026-2027/272725,rajya_sabha,expenditure,1258,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,197937.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
TX_RA_001260,CW_RA_EXP_001260,WS/MP18347/2026-2027/272728,rajya_sabha,expenditure,1259,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,198094.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
