sr_no,state,work_description,work_id,ida_agency,mp_name,constituency,expenditure_amount,vendor_name,work_status,expenditure_amount
85,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171411,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
86,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171469,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
87,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171470,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
88,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171420,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
89,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171580,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
90,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171581,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
91,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171571,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
92,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171577,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
93,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171579,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
94,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171410,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
95,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171502,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
96,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171449,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
97,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171582,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
98,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171388,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
99,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171370,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
100,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184334,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
101,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184338,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
102,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
103,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
104,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184332,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
105,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184330,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
106,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184328,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
107,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184316,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
108,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184319,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
109,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171392,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
110,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171393,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171592,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171610,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
