alias_id,ida_id,original_name,normalized_name,confidence_score,verified
IDA_ALIAS_000653,IDA_000653,POONCH(DEPUTY COMMISSIONER POONCH_IDA),poonchdeputy commissioner poonchida,1.0,True
IDA_ALIAS_000654,IDA_000654,FATEHABAD(DEPUTY COMMISSIONER FATEHABAD),fatehabaddeputy commissioner fatehabad,1.0,True
IDA_ALIAS_000655,IDA_000655,BAJALI(DC OFFICE BAJALI),bajalidc office bajali,1.0,True
IDA_ALIAS_000656,IDA_000656,KUMURAM BHEEM ASIFABAD(DISTRICT COLLECTOR KB ASIFABAD_IDA),kumuram bheem asifabaddistrict collector kb asifabadida,1.0,True
IDA_ALIAS_000657,IDA_000657,KAMAREDDY(DISTRICT COLLECTOR KAMAREDDY_IDA),kamareddydistrict collector kamareddyida,1.0,True
IDA_ALIAS_000658,IDA_000658,DHENKANAL(DISTRICT COLLECTOR DHENKANAL_IDA),dhenkanaldistrict collector dhenkanalida,1.0,True
IDA_ALIAS_000659,IDA_000659,JALPAIGURI(DISTRICT MAGISTRATE JALPAIGURI_IDA),jalpaiguridistrict magistrate jalpaiguriida,1.0,True
IDA_ALIAS_000660,IDA_000660,SOUTH WEST(COMMISSIONER MCD SOUTH WEST),south westcommissioner mcd south west,1.0,True
IDA_ALIAS_000661,IDA_000661,BANDIPORA(DEPUTY COMMISSIONER BANDIPORA_IDA),bandiporadeputy commissioner bandiporaida,1.0,True
IDA_ALIAS_000662,IDA_000662,KARGIL(DEPUTY COMMISSIONERKARGIL),kargildeputy commissionerkargil,1.0,True
IDA_ALIAS_000663,IDA_000663,PALNADU(DISTRICT COLLECTOR PALNADU_IDA),palnadudistrict collector palnaduida,1.0,True
IDA_ALIAS_000664,IDA_000664,SOUTH ANDAMANS(IMPLEMENTING DISTRICT AUTHORITY(SA)),south andamansimplementing district authoritysa,1.0,True
IDA_ALIAS_000665,IDA_000665,JHALAWAR(DISTRICT COLLECTOR JHALAWAR_IDA),jhalawardistrict collector jhalawarida,1.0,True
IDA_ALIAS_000666,IDA_000666,"SAITUAL(DY. COMMISSIONERS OFFICE, SAITUAL)",saitualdy commissioners office saitual,1.0,True
IDA_ALIAS_000667,IDA_000667,SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA),sarandistrict planning office saran chapraida,1.0,True
IDA_ALIAS_000668,IDA_000668,COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),coimbatoredistrict collector coimbatoreida,1.0,True
IDA_ALIAS_000669,IDA_000669,TIRAP(DEPUTY COMMISSIONER TIRAP_IDA),tirapdeputy commissioner tirapida,1.0,True
IDA_ALIAS_000670,IDA_000670,"CHAMPHAI(DEPUTY COMMISIONER, CHAMPHAI)",champhaideputy commisioner champhai,1.0,True
