canonical_work_id,iso_forest_raw_score,lof_raw_score,ml_anomaly_score,is_ml_anomaly,top_contributing_features
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017783009391463419,-0.1834,-0.4299,0.0,False,inactivity_gap_days
WORK_HASH_1001778832178770831,-0.1958,14792898.9083,0.32,False,inactivity_gap_days
WORK_HASH_10017805689402573573,-0.217,-0.5125,0.0,False,multivariate_combination
WORK_HASH_10017868556378514756,-0.1461,-0.3767,0.0,False,sanction_delay_days
WORK_HASH_10018049309931667201,-0.147,-0.3831,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1001813600192170922,-0.1722,-0.5049,0.0,False,sanction_delay_days
WORK_HASH_1001830526266281060,-0.1823,-0.3521,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10018414147389715981,-0.1602,-0.5104,0.0,False,sanction_delay_days
WORK_HASH_10018416057345555199,-0.1787,-0.497,0.0,False,sanction_delay_days
WORK_HASH_10018484840142251571,-0.1847,-0.5158,0.0,False,sanction_delay_days
WORK_HASH_1001854621776921541,-0.0828,-0.4925,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10018555494717794399,-0.1237,-0.4542,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10018584303111933389,-0.1988,-0.5031,0.0,False,multivariate_combination
WORK_HASH_10018703950169975015,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10018884372602816658,-0.1504,-0.4752,0.0,False,sanction_delay_days
WORK_HASH_10019070341651377080,-0.1963,-0.4673,0.0,False,sanction_delay_days
WORK_HASH_10019435816714978803,-0.1603,-0.4756,0.0,False,inactivity_gap_days
WORK_HASH_10019514725215275053,-0.1982,-0.4564,0.0,False,multivariate_combination
WORK_HASH_10019651469965501174,-0.1366,-0.5314,0.0,False,sanction_delay_days
WORK_HASH_10019790632360988569,-0.1632,-0.4987,0.0,False,inactivity_gap_days
WORK_HASH_10019807313809468188,-0.1433,-0.5101,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_100198906951385258,-0.128,-0.5378,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10020455397788405832,-0.1717,-0.5097,0.0,False,inactivity_gap_days
WORK_HASH_10020515766731489074,-0.1408,-0.4734,0.0,False,inactivity_gap_days
WORK_HASH_10020545620378830924,-0.1469,-0.4937,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10020749025223587679,-0.2172,-0.5,0.0,False,multivariate_combination
WORK_HASH_10020778942704561971,-0.2193,-0.5136,0.0,False,multivariate_combination
WORK_HASH_10020844363537783156,-0.1193,-0.507,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10020975727324846007,-0.1595,-0.4668,0.0,False,sanction_delay_days
WORK_HASH_10021059023723040846,-0.2164,-0.5019,0.0,False,multivariate_combination
WORK_HASH_10021298485503213372,-0.043,-0.5555,0.0,False,inactivity_gap_days
WORK_HASH_1002139007732846200,-0.2174,-0.5,0.0,False,multivariate_combination
WORK_HASH_10021455224087508223,-0.1697,-0.4261,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10021582433979275111,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10021600830251351354,-0.2184,-0.2471,0.0,False,multivariate_combination
WORK_HASH_10021869499480764281,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10021869499480764281,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10021905801308812974,-0.1737,-0.5053,0.0,False,inactivity_gap_days
WORK_HASH_10022021164925197045,-0.2174,-0.5,0.0,False,multivariate_combination
WORK_HASH_10022039542916527693,-0.1378,-0.5101,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1002210881088817385,-0.2134,-0.273,0.0,False,inactivity_gap_days
WORK_HASH_10022217115431739997,-0.1357,-0.5246,0.0,False,sanction_delay_days
WORK_HASH_10022251568465781455,-0.1758,-0.3176,0.0,False,multivariate_combination
WORK_HASH_10022268715892480809,-0.1955,-0.5286,0.0,False,multivariate_combination
WORK_HASH_10022301029654410575,-0.2164,-0.4602,0.0,False,multivariate_combination
WORK_HASH_10022316812270133047,0.0097,-0.4824,0.0,False,sanction_delay_days
WORK_HASH_10022328152571389477,-0.0822,-0.4183,0.0,False,sanction_delay_days
WORK_HASH_10022591442629295116,-0.1982,-0.4998,0.0,False,multivariate_combination
WORK_HASH_10022974987029305167,-0.2164,-0.5019,0.0,False,multivariate_combination
WORK_HASH_10023150969355809277,-0.1873,0.5432,0.0,False,multivariate_combination
WORK_HASH_1002343140745003076,-0.2189,-0.5179,0.0,False,multivariate_combination
WORK_HASH_10023504968317827901,-0.1935,-0.5011,0.0,False,multivariate_combination
WORK_HASH_10023615757456548833,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10023624098458113229,-0.1518,-0.3417,0.0,False,sanction_delay_days
WORK_HASH_10023813006464329805,-0.1852,-0.4885,0.0,False,sanction_delay_days
WORK_HASH_10023890279067616110,-0.1832,-0.4304,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10024168457610766430,-0.2164,-0.5019,0.0,False,multivariate_combination
WORK_HASH_1002419165378525467,-0.1061,-0.4471,0.0,False,sanction_delay_days
WORK_HASH_10024403660587484160,-0.2072,-0.4488,0.0,False,inactivity_gap_days
WORK_HASH_10024834039761255591,-0.2099,-0.4788,0.0,False,multivariate_combination
WORK_HASH_10025126330476186062,-0.053,-0.4865,0.0,False,sanction_delay_days
WORK_HASH_10025182459402152004,-0.2189,-0.5232,0.0,False,multivariate_combination
WORK_HASH_1002536046035454463,-0.199,-0.4228,0.0,False,multivariate_combination
WORK_HASH_10025429780801081130,-0.1571,-0.5268,0.0,False,sanction_delay_days
WORK_HASH_10025451253536437433,-0.1588,-0.431,0.0,False,sanction_delay_days
WORK_HASH_10025506814805040163,-0.1419,-0.4708,0.0,False,sanction_delay_days
WORK_HASH_10025578146363739309,-0.1843,-0.5376,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10025659110643475962,-0.1817,-0.4698,0.0,False,sanction_delay_days
WORK_HASH_10025940473555077483,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10026051255974284683,-0.1969,-0.5042,0.0,False,multivariate_combination
WORK_HASH_10026102042044139201,-0.072,-0.5188,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10026365485029016902,-0.1978,-0.5071,0.0,False,inactivity_gap_days
WORK_HASH_1002653164957165952,-0.1613,-0.523,0.0,False,inactivity_gap_days
WORK_HASH_10026654064669736826,-0.1307,-0.5331,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10026723694067833470,-0.1059,-0.5028,0.0,False,sanction_delay_days
WORK_HASH_10026769769649993186,-0.1008,-0.4847,0.0,False,sanction_delay_days
WORK_HASH_10026887917283050404,-0.2207,-0.5195,0.0,False,multivariate_combination
WORK_HASH_10026899270945797897,-0.1824,-0.4683,0.0,False,sanction_delay_days
WORK_HASH_10026930027141637861,-0.2131,-0.4645,0.0,False,inactivity_gap_days
WORK_HASH_1002700901355845397,-0.2177,-0.5258,0.0,False,multivariate_combination
WORK_HASH_10027071560461201896,-0.2182,-0.5,0.0,False,multivariate_combination
