parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
lok_sabha,West Bengal,June Maliah,22,18,6,63783694.0,0.0,3543538.5555555555,0.273,0.0
lok_sabha,West Bengal,Jyotirmay Singh Mahato,38,17,5,10218085.0,0.0,601063.8235294118,0.132,0.0
lok_sabha,West Bengal,Kakoli Ghosh Dastidar,93,53,33,60172753.0,0.0,1135334.9622641508,0.355,0.0
lok_sabha,West Bengal,Kalipada Saren,39,29,25,58546605.0,0.0,2018848.448275862,0.641,0.0
lok_sabha,West Bengal,Kalyan Banerjee,76,74,46,67797647.0,0.0,916184.4189189189,0.605,0.0
lok_sabha,West Bengal,Kartick Chandra Paul,29,24,5,26078137.0,0.0,1086589.0416666667,0.172,0.0
lok_sabha,West Bengal,Khagen Murmu,31,11,6,10982755.0,0.0,998432.2727272727,0.194,0.0
lok_sabha,West Bengal,Khalilur Rahaman,41,29,11,38411791.0,0.0,1324544.5172413792,0.268,0.0
lok_sabha,West Bengal,Mahua Moitra,52,44,20,96526606.0,0.0,2193786.5,0.385,0.0
lok_sabha,West Bengal,Mala Roy,51,50,18,74370386.0,0.0,1487407.72,0.353,0.0
lok_sabha,West Bengal,Manoj Tigga,26,14,0,26597456.7,0.0,1899818.3357142857,0.0,0.0
lok_sabha,West Bengal,Partha Bhowmick,29,10,4,57015000.0,0.0,5701500.0,0.138,0.0
lok_sabha,West Bengal,Pathan Yusuf,43,33,2,39363677.0,0.0,1192838.696969697,0.047,0.0
lok_sabha,West Bengal,Prasun Banerjee,48,47,25,48090168.0,0.0,1023195.0638297872,0.521,0.0
lok_sabha,West Bengal,Pratima Mondal,143,130,70,63576927.0,0.0,489053.2846153846,0.49,0.0
lok_sabha,West Bengal,Rachna Banerjee,39,27,10,49733134.0,0.0,1841967.9259259258,0.256,0.0
lok_sabha,West Bengal,Raju Bista,171,113,42,62207467.0,0.0,550508.5575221239,0.246,0.0
lok_sabha,West Bengal,Sajda Ahmed,112,88,61,55947695.0,0.0,635769.2613636364,0.545,0.0
lok_sabha,West Bengal,Satabdi Roy (Banerjee),79,71,48,63579304.0,0.0,895483.1549295775,0.608,0.0
lok_sabha,West Bengal,Saumitra Khan,46,42,14,50205584.0,0.0,1195371.0476190476,0.304,0.0
lok_sabha,West Bengal,Sayani Ghosh,68,65,32,37577280.0,0.0,578112.0,0.471,0.0
