parliament,state,constituency,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,completion_rate,utilization_rate
lok_sabha,Bihar,BHAGALPUR,20,19,12,21504101.0,0.0,0.6,0.0
lok_sabha,Bihar,BUXAR,169,109,70,96968125.0,0.0,0.414,0.0
lok_sabha,Bihar,DARBHANGA,76,74,33,35604372.0,0.0,0.434,0.0
lok_sabha,Bihar,GAYA (SC),68,65,43,43981660.0,0.0,0.632,0.0
lok_sabha,Bihar,GOPALGANJ (SC),31,26,9,19477571.0,0.0,0.29,0.0
lok_sabha,Bihar,HAJIPUR(SC),79,65,40,63927324.0,0.0,0.506,0.0
lok_sabha,Bihar,JAHANABAD,127,100,44,53583182.0,0.0,0.346,0.0
lok_sabha,Bihar,JAMUI(SC),36,36,30,25598044.0,0.0,0.833,0.0
lok_sabha,Bihar,JHANJHARPUR,183,117,85,120451146.0,0.0,0.464,0.0
lok_sabha,Bihar,KARAKAT,227,196,90,87153871.0,0.0,0.396,0.0
lok_sabha,Bihar,KATIHAR,6,6,2,5815000.0,0.0,0.333,0.0
lok_sabha,Bihar,KHAGARIA,52,52,43,58126888.0,0.0,0.827,0.0
lok_sabha,Bihar,KISHANGANJ,121,97,62,62566800.0,0.0,0.512,0.0
lok_sabha,Bihar,MADHEPURA,95,90,61,74969440.0,0.0,0.642,0.0
lok_sabha,Bihar,MADHUBANI,152,127,52,69633602.0,0.0,0.342,0.0
lok_sabha,Bihar,MAHARAJGANJ_BR,66,61,17,73262951.0,0.0,0.258,0.0
lok_sabha,Bihar,MUNGER,1,0,0,0.0,0.0,0.0,0.0
lok_sabha,Bihar,MUZAFFARPUR,45,33,23,38679800.0,0.0,0.511,0.0
lok_sabha,Bihar,NALANDA,164,138,88,59475927.0,0.0,0.537,0.0
lok_sabha,Bihar,NAWADA,71,33,1,33796909.0,0.0,0.014,0.0
lok_sabha,Bihar,PATNA SAHIB,60,48,41,42686666.0,0.0,0.683,0.0
lok_sabha,Bihar,PURNEA,44,36,6,33237118.0,0.0,0.136,0.0
lok_sabha,Bihar,PURVI CHAMPARAN,103,72,52,66375830.0,0.0,0.505,0.0
lok_sabha,Bihar,SAMASTIPUR(SC),38,31,7,24362885.0,0.0,0.184,0.0
lok_sabha,Bihar,SARAN,6,5,0,7200000.0,0.0,0.0,0.0
lok_sabha,Bihar,SASARAM(SC),159,131,80,114170545.0,0.0,0.503,0.0
lok_sabha,Bihar,SHEOHAR,57,32,15,37633653.0,0.0,0.263,0.0
lok_sabha,Bihar,SITAMARHI,71,50,33,29721476.0,0.0,0.465,0.0
lok_sabha,Bihar,SIWAN,24,15,14,15823631.0,0.0,0.583,0.0
lok_sabha,Bihar,SUPAUL,31,22,15,34500530.0,0.0,0.484,0.0
lok_sabha,Bihar,UJJARPUR,36,28,17,16266056.0,0.0,0.472,0.0
lok_sabha,Bihar,VAISHALI,39,33,13,81611689.0,0.0,0.333,0.0
lok_sabha,Bihar,VALMIKI NAGAR,253,95,77,76482873.0,0.0,0.304,0.0
lok_sabha,Chandigarh,CHANDIGARH,63,54,16,41324398.0,0.0,0.254,0.0
lok_sabha,Chhattisgarh,BASTAR(ST),172,156,38,97246668.0,0.0,0.221,0.0
lok_sabha,Chhattisgarh,BILASPUR,118,115,40,86556819.0,0.0,0.339,0.0
lok_sabha,Chhattisgarh,DURG,82,65,21,41831727.0,0.0,0.256,0.0
lok_sabha,Chhattisgarh,JANJGIR CHAMPA(SC),226,217,198,78659202.0,0.0,0.876,0.0
lok_sabha,Chhattisgarh,KANKER(ST),73,60,22,42788933.0,0.0,0.301,0.0
lok_sabha,Chhattisgarh,KORBA,214,204,101,79962195.0,0.0,0.472,0.0
lok_sabha,Chhattisgarh,MAHASAMUND,108,100,49,68144882.0,0.0,0.454,0.0
lok_sabha,Chhattisgarh,RAIGARH(ST),86,85,47,64698438.0,0.0,0.547,0.0
lok_sabha,Chhattisgarh,RAIPUR,147,115,34,83291167.0,0.0,0.231,0.0
lok_sabha,Chhattisgarh,RAJNANDGAON,157,152,62,72124587.0,0.0,0.395,0.0
lok_sabha,Chhattisgarh,SARGUJA(ST),273,267,65,77703043.0,0.0,0.238,0.0
lok_sabha,Delhi,CHANDINI CHOWK,37,31,18,27804687.0,0.0,0.486,0.0
lok_sabha,Delhi,EAST DELHI,29,27,6,29657497.0,0.0,0.207,0.0
lok_sabha,Delhi,NEW DELHI,51,36,24,21805847.0,0.0,0.471,0.0
lok_sabha,Delhi,NORTH EAST DELHI,18,13,6,41979890.0,0.0,0.333,0.0
lok_sabha,Delhi,NORTH WEST DELHI(SC),31,27,8,18415744.0,0.0,0.258,0.0
lok_sabha,Delhi,SOUTH DELHI,64,43,15,44693009.0,0.0,0.234,0.0
lok_sabha,Delhi,WEST DELHI,36,29,18,38243392.0,0.0,0.5,0.0
lok_sabha,Goa,NORTH GOA,112,25,1,16573355.3,0.0,0.009,0.0
lok_sabha,Goa,SOUTH GOA,94,36,31,31253731.0,0.0,0.33,0.0
lok_sabha,Gujarat,AHMEDABAD EAST,176,97,19,62121371.0,0.0,0.108,0.0
lok_sabha,Gujarat,AHMEDABAD WEST(SC),179,118,2,71352198.0,0.0,0.011,0.0
lok_sabha,Gujarat,AMRELI,284,261,138,94111654.0,0.0,0.486,0.0
lok_sabha,Gujarat,ANAND,525,494,248,107187313.0,0.0,0.472,0.0
lok_sabha,Gujarat,BANASKANTHA,146,110,37,48416737.0,0.0,0.253,0.0
lok_sabha,Gujarat,BARDOLI(ST),137,119,38,47548927.0,0.0,0.277,0.0
lok_sabha,Gujarat,BHARUCH,396,353,208,95979284.0,0.0,0.525,0.0
lok_sabha,Gujarat,BHAVNAGAR,49,32,21,53769166.0,0.0,0.429,0.0
lok_sabha,Gujarat,CHHOTA UDAIPUR(ST),116,83,23,33311565.0,0.0,0.198,0.0
lok_sabha,Gujarat,DAHOD(ST),428,274,71,87499259.0,0.0,0.166,0.0
lok_sabha,Gujarat,GANDHINAGAR,81,42,8,29578204.0,0.0,0.099,0.0
lok_sabha,Gujarat,JAMNAGAR,113,75,35,34071882.0,0.0,0.31,0.0
lok_sabha,Gujarat,JUNAGADH,16,15,14,5524417.0,0.0,0.875,0.0
lok_sabha,Gujarat,KACHCHH(SC),347,213,91,85891240.0,0.0,0.262,0.0
lok_sabha,Gujarat,KHEDA,328,159,68,36903485.0,0.0,0.207,0.0
lok_sabha,Gujarat,MAHESANA,283,245,114,51527971.0,0.0,0.403,0.0
lok_sabha,Gujarat,NAVSARI,232,205,124,86799800.0,0.0,0.534,0.0
lok_sabha,Gujarat,PANCHMAHAL,508,373,88,77267478.0,0.0,0.173,0.0
lok_sabha,Gujarat,PATAN,325,267,156,98545538.0,0.0,0.48,0.0
lok_sabha,Gujarat,PORBANDAR,189,130,63,51002353.0,0.0,0.333,0.0
lok_sabha,Gujarat,RAJKOT,262,165,82,78423535.0,0.0,0.313,0.0
lok_sabha,Gujarat,SABARKANTHA,253,233,124,87526464.0,0.0,0.49,0.0
lok_sabha,Gujarat,SURAT,94,59,40,29087728.0,0.0,0.426,0.0
lok_sabha,Gujarat,SURENDRANAGAR,200,190,96,81030752.0,0.0,0.48,0.0
lok_sabha,Gujarat,VADODARA,204,166,71,101237489.0,0.0,0.348,0.0
lok_sabha,Gujarat,VALSAD(ST),142,118,42,48194875.0,0.0,0.296,0.0
lok_sabha,Haryana,AMBALA (SC),79,64,3,51770091.0,0.0,0.038,0.0
lok_sabha,Haryana,BHIWANI MAHENDRAGARH,116,103,45,52053960.0,0.0,0.388,0.0
lok_sabha,Haryana,FARIDABAD,74,55,6,42775608.0,0.0,0.081,0.0
lok_sabha,Haryana,GURGAON,46,44,14,45329028.0,0.0,0.304,0.0
lok_sabha,Haryana,HISAR,216,161,19,73273173.0,0.0,0.088,0.0
