transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_LO_000054,CW_LO_EXP_000054,WS/MP18222/2025-2026/214253,lok_sabha,expenditure,53,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000055,CW_LO_EXP_000055,WS/MP18222/2025-2026/214320,lok_sabha,expenditure,54,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000056,CW_LO_EXP_000056,WS/MP18222/2025-2026/214004,lok_sabha,expenditure,55,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000057,CW_LO_EXP_000057,WS/MP18222/2025-2026/214008,lok_sabha,expenditure,56,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000058,CW_LO_EXP_000058,WS/MP18222/2025-2026/214115,lok_sabha,expenditure,57,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000059,CW_LO_EXP_000059,WS/MP18222/2025-2026/214174,lok_sabha,expenditure,58,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000060,CW_LO_EXP_000060,WS/MP18222/2025-2026/214190,lok_sabha,expenditure,59,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000061,CW_LO_EXP_000061,WS/MP18222/2025-2026/214196,lok_sabha,expenditure,60,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000062,CW_LO_EXP_000062,WS/MP18222/2025-2026/214193,lok_sabha,expenditure,61,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000063,CW_LO_EXP_000063,WS/MP18222/2025-2026/214195,lok_sabha,expenditure,62,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000064,CW_LO_EXP_000064,WS/MP18222/2025-2026/214061,lok_sabha,expenditure,63,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000065,CW_LO_EXP_000065,WS/MP18222/2025-2026/214104,lok_sabha,expenditure,64,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000066,CW_LO_EXP_000066,WS/MP18222/2025-2026/214103,lok_sabha,expenditure,65,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000067,CW_LO_EXP_000067,WS/MP18222/2025-2026/214105,lok_sabha,expenditure,66,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000068,CW_LO_EXP_000068,WS/MP18222/2025-2026/214106,lok_sabha,expenditure,67,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000069,CW_LO_EXP_000069,WS/MP18222/2025-2026/214107,lok_sabha,expenditure,68,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000070,CW_LO_EXP_000070,WS/MP18222/2025-2026/214003,lok_sabha,expenditure,69,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000071,CW_LO_EXP_000071,WS/MP18222/2025-2026/214001,lok_sabha,expenditure,70,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000072,CW_LO_EXP_000072,WS/MP18222/2025-2026/214002,lok_sabha,expenditure,71,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000073,CW_LO_EXP_000073,WS/MP18222/2025-2026/214060,lok_sabha,expenditure,72,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000074,CW_LO_EXP_000074,WS/MP18222/2025-2026/214059,lok_sabha,expenditure,73,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000075,CW_LO_EXP_000075,WS/MP18222/2025-2026/214058,lok_sabha,expenditure,74,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000076,CW_LO_EXP_000076,WS/MP18222/2025-2026/214009,lok_sabha,expenditure,75,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000077,CW_LO_EXP_000077,WS/MP18222/2025-2026/214010,lok_sabha,expenditure,76,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000078,CW_LO_EXP_000078,WS/MP18222/2025-2026/171510,lok_sabha,expenditure,77,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000079,CW_LO_EXP_000079,WS/MP18222/2025-2026/171501,lok_sabha,expenditure,78,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000080,CW_LO_EXP_000080,WS/MP18222/2025-2026/171466,lok_sabha,expenditure,79,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000081,CW_LO_EXP_000081,WS/MP18222/2025-2026/171467,lok_sabha,expenditure,80,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000082,CW_LO_EXP_000082,WS/MP18222/2025-2026/171454,lok_sabha,expenditure,81,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000083,CW_LO_EXP_000083,WS/MP18222/2025-2026/171451,lok_sabha,expenditure,82,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000084,CW_LO_EXP_000084,WS/MP18222/2025-2026/171468,lok_sabha,expenditure,83,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000085,CW_LO_EXP_000085,WS/MP18222/2025-2026/171411,lok_sabha,expenditure,84,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000086,CW_LO_EXP_000086,WS/MP18222/2025-2026/171469,lok_sabha,expenditure,85,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000087,CW_LO_EXP_000087,WS/MP18222/2025-2026/171470,lok_sabha,expenditure,86,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000088,CW_LO_EXP_000088,WS/MP18222/2025-2026/171420,lok_sabha,expenditure,87,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000089,CW_LO_EXP_000089,WS/MP18222/2025-2026/171580,lok_sabha,expenditure,88,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000090,CW_LO_EXP_000090,WS/MP18222/2025-2026/171581,lok_sabha,expenditure,89,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000091,CW_LO_EXP_000091,WS/MP18222/2025-2026/171571,lok_sabha,expenditure,90,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000092,CW_LO_EXP_000092,WS/MP18222/2025-2026/171577,lok_sabha,expenditure,91,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000093,CW_LO_EXP_000093,WS/MP18222/2025-2026/171579,lok_sabha,expenditure,92,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000094,CW_LO_EXP_000094,WS/MP18222/2025-2026/171410,lok_sabha,expenditure,93,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
