source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
expenditure,769,recommended,300,Street lights,Highmast Solar Street light- Two Piece.,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,300000.0,993000.0,73.76,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1380,recommended,876,Construction of boundary walls of existing public and community buildings,Construction Of Cremation Shed At Dighi Ta. Daryapur Dist Amravati,Balwant Baswant Wankhade,Balwant Baswant Wankhade,AMRAVATI(SC),AMRAVATI(SC),Maharashtra,Maharashtra,499999.0,600000.0,76.34,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,217,recommended,113,Construction of community centers and community halls,Construction of common work shed in Anjad at ward no 04 at near Khatu Shyam Mandir,Gajendra Singh Patel,Gajendra Singh Patel,KHARGONE(ST),KHARGONE(ST),Madhya Pradesh,Madhya Pradesh,150000.0,200000.0,74.49,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,287,recommended,820,Construction of community centers and community halls,Construction of community center at village Takhatgarh,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,49700.0,700000.0,80.55,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,757,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light near sitaram mandir of laxmantunda village of laxmantunda panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,149710.0,73.87,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1357,recommended,223,Construction of community centers and community halls,CC Road- Community Building to Patharri pond (Taalab).,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,300000.0,998000.0,73.21,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,933,recommended,308,Construction of additional rooms and halls in the existing public and community building,"Construction of cc road from sanasai das bairagya house to Santiram ghose house at paligram gp ,Executing Agency will be EO Mongalkote Panchyaet Samit",Asit Kumar Mal,Asit Kumar Mal,BOLPUR(SC),BOLPUR(SC),West Bengal,West Bengal,1100000.0,508980.0,71.79,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,217,recommended,109,Construction of community centers and community halls,Construction of common work shed in village Chervi at near samadhi of Toranmal incident,Gajendra Singh Patel,Gajendra Singh Patel,KHARGONE(ST),KHARGONE(ST),Madhya Pradesh,Madhya Pradesh,150000.0,200000.0,73.4,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,735,recommended,3,Construction of buildings for community cultural activities,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,495246.0,1500000.0,74.08,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,775,recommended,13,Construction of buildings for community cultural activities,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,398213.0,250000.0,77.14,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,933,recommended,319,Construction of additional rooms and halls in the existing public and community building,Construction of CC Road from durmut Bonkapasi to Babul farm at kaichor GP .Excuting Agency will be E O Mongalkote Panchyet Samity,Asit Kumar Mal,Asit Kumar Mal,BOLPUR(SC),BOLPUR(SC),West Bengal,West Bengal,1100000.0,342129.0,71.42,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1300,recommended,528,Construction of community centers and community halls,17 Village Prajapat Choupal Construction,Deepender Singh Hooda,Deepender Singh Hooda,ROHTAK,ROHTAK,Haryana,Haryana,310304.0,1000000.0,71.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1299,recommended,536,Construction of community centers and community halls,Const./Comp. of Kusti Hall,Deepender Singh Hooda,Deepender Singh Hooda,ROHTAK,ROHTAK,Haryana,Haryana,60104.0,1100000.0,71.19,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,217,recommended,1018,Construction of community centers and community halls,Construction of hall in village Machalpur Khurd at Ahir Mohalla,Gajendra Singh Patel,Gajendra Singh Patel,KHARGONE(ST),KHARGONE(ST),Madhya Pradesh,Madhya Pradesh,150000.0,500000.0,72.01,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1290,recommended,1150,Creation of new ponds,"Construction of CC Block Road near DC Bungalow, Diphu",Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,375000.0,500000.0,75.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
