work_id,recommendation_date,recommended_amount,raw_additional_status
WS/MP196/2023-2024/48092-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48093-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48094-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48097-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48098-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48099-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48100-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48101-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48102-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48103-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48104-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48108-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP019/2023-2024/48120-Construction of culverts and bridges,09-Nov-2023,2000000.0,23-Feb-2024
"WS/MP019/2023-2024/48122-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Nov-2023,996214.0,23-Feb-2024
WS/MP019/2023-2024/48123-Lighting of public spaces,09-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/48128-Lighting of public spaces,09-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/48238-Construction of public toilets and bathrooms,09-Nov-2023,600000.0,23-Feb-2024
WS/MP019/2023-2024/48239-Lighting of public spaces,09-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/48240-Lighting of public spaces,09-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/48241-Lighting of public spaces,09-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/48242-Lighting of public spaces,09-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/48243-Lighting of public spaces,09-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/48249-Lighting of public spaces,09-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/48250-Lighting of public spaces,09-Nov-2023,130000.0,26-Feb-2024
WS/MP019/2023-2024/48251-Lighting of public spaces,09-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/48252-Lighting of public spaces,09-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/48253-Lighting of public spaces,09-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/48254-Lighting of public spaces,09-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/48264-Lighting of public spaces,09-Nov-2023,119000.66,22-Feb-2024
WS/MP019/2023-2024/48265-Lighting of public spaces,09-Nov-2023,119000.66,22-Feb-2024
WS/MP019/2023-2024/48266-Lighting of public spaces,09-Nov-2023,119000.66,22-Feb-2024
WS/MP019/2023-2024/48267-Lighting of public spaces,09-Nov-2023,119000.78,22-Feb-2024
