source_house,source_file,source_row_number,sr_no,state,work,work_id,ida,honble_members_of_parliament,elected/nominated,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_₹
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11398,11397,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199072,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11399,11398,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199042,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11400,11399,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199011,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11401,11400,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199030,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11402,11401,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP887/2023-2024/105224,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,2025-06-12,ANMOL SINGH,Payment Success,977631.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11403,11402,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP887/2024-2025/151290,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,2026-04-12,ANMOL SINGH,Payment Success,1274400.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11404,11403,Assam,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP831/2024-2025/140244,BARPETA(DEPUTY COMMISSIONER BARPETA 1),Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,2025-02-04,CONST OF ROAD FROM NATUNBASTI TO AHOM PATHAR VIA TO DHARA,Payment Success,1200000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11405,11404,Assam,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP831/2024-2025/140244,BARPETA(DEPUTY COMMISSIONER BARPETA 1),Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,2026-02-25,CONST OF ROAD FROM NATUNBASTI TO AHOM PATHAR VIA TO DHARA,Payment Success,800000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11406,11405,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP148/2024-2025/137146,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),Shri Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,2025-07-23,Mohini borewell and construction company,Payment Success,881671.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11407,11406,Jammu And Kashmir,Construction of common work sheds/ common covered sitting area,WS/MP839/2024-2025/152776,SAMBA(Deputy Commissioner Samba_IDA),Shri Gulam Ali (2022-28) (2022-2028),Nominated MP,2025-04-26,Asma,Payment Success,459000.0
