sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,electednominated,image,completion_date,expenditure_amount
59,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
60,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
61,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
62,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
63,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
64,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
65,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
66,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
67,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
68,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
69,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
70,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
71,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-19,283000.0
